Amptek detectors with C1 and C2 windows for 500 micron active depth				
				
Efficiency versus energy for 2 windows				
"For each window, the first column is total attenuation, the second is the photofraction"				
Data computed using NIST attenutation values (physics.nist.gov) and nominal device specifications				
"For more information, visit www.amptek.com"				
				
Window	C1		C2	
Detector	500 microns Si		500 microns Si	
				
Energy	Total Atten	P.E. Atten	Total Atten	P.E. Atten
keV				
1.44E-01	9.38E-08	9.38E-08	3.47E-03	3.47E-03
1.46E-01	1.16E-07	1.16E-07	3.71E-03	3.71E-03
1.48E-01	1.62E-07	1.62E-07	4.11E-03	4.11E-03
1.49E-01	1.77E-07	1.77E-07	4.22E-03	4.22E-03
1.49E-01	1.01E-07	1.01E-07	2.82E-03	2.82E-03
1.52E-01	1.42E-07	1.42E-07	3.13E-03	3.13E-03
1.54E-01	2.07E-07	2.07E-07	3.54E-03	3.54E-03
1.65E-01	9.34E-07	9.34E-07	5.79E-03	5.79E-03
1.76E-01	4.07E-06	4.07E-06	9.50E-03	9.50E-03
1.88E-01	1.65E-05	1.65E-05	1.54E-02	1.54E-02
2.01E-01	6.07E-05	6.07E-05	2.43E-02	2.43E-02
2.15E-01	2.00E-04	2.00E-04	3.72E-02	3.72E-02
2.30E-01	5.89E-04	5.89E-04	5.50E-02	5.50E-02
2.46E-01	1.54E-03	1.54E-03	7.81E-02	7.81E-02
2.63E-01	3.62E-03	3.62E-03	1.07E-01	1.07E-01
2.81E-01	7.66E-03	7.66E-03	1.41E-01	1.41E-01
3.01E-01	1.48E-02	1.48E-02	1.80E-01	1.80E-01
3.21E-01	2.61E-02	2.61E-02	2.22E-01	2.22E-01
3.43E-01	4.29E-02	4.29E-02	2.68E-01	2.68E-01
3.67E-01	6.59E-02	6.59E-02	3.14E-01	3.14E-01
3.92E-01	9.54E-02	9.54E-02	3.61E-01	3.61E-01
3.94E-01	9.67E-02	9.67E-02	3.63E-01	3.63E-01
4.00E-01	1.04E-01	1.04E-01	3.73E-01	3.73E-01
4.01E-01	1.06E-01	1.06E-01	3.75E-01	3.75E-01
4.04E-01	5.63E-02	5.63E-02	3.14E-01	3.14E-01
4.10E-01	6.17E-02	6.17E-02	3.25E-01	3.25E-01
4.20E-01	7.16E-02	7.16E-02	3.42E-01	3.42E-01
4.48E-01	1.02E-01	1.02E-01	3.88E-01	3.88E-01
4.79E-01	1.38E-01	1.38E-01	4.33E-01	4.33E-01
